2026-01-28T09:32:49.267961474Z I0128 09:32:49.266215       1 nodelink_controller.go:413] Finding machine from node "ip-10-0-3-203.us-west-1.compute.internal"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266237       1 nodelink_controller.go:430] Finding machine from node "ip-10-0-3-203.us-west-1.compute.internal" by ProviderID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266291       1 nodelink_controller.go:453] Finding machine from node "ip-10-0-3-203.us-west-1.compute.internal" by IP
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266296       1 nodelink_controller.go:458] Found internal IP for node "ip-10-0-3-203.us-west-1.compute.internal": "10.0.3.203"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266382       1 nodelink_controller.go:482] Matching machine not found for node "ip-10-0-3-203.us-west-1.compute.internal" with internal IP "10.0.3.203"
2026-01-28T09:32:49.267961474Z W0128 09:32:49.266410       1 nodelink_controller.go:215] Machine for node "ip-10-0-3-203.us-west-1.compute.internal" not found
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266451       1 nodelink_controller.go:191] Reconciling Node /ip-10-0-102-200.us-west-1.compute.internal
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266520       1 nodelink_controller.go:413] Finding machine from node "ip-10-0-102-200.us-west-1.compute.internal"
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266525       1 nodelink_controller.go:430] Finding machine from node "ip-10-0-102-200.us-west-1.compute.internal" by ProviderID
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266595       1 nodelink_controller.go:453] Finding machine from node "ip-10-0-102-200.us-west-1.compute.internal" by IP
2026-01-28T09:32:49.267961474Z I0128 09:32:49.266601       1 nodelink_controller.go:458] Found internal IP for node "ip-10-0-102-200.us-west-1.compute.internal": "10.0.102.200"
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266656       1 nodelink_controller.go:482] Matching machine not found for node "ip-10-0-102-200.us-west-1.compute.internal" with internal IP "10.0.102.200"
2026-01-28T09:32:49.268019104Z W0128 09:32:49.266664       1 nodelink_controller.go:215] Machine for node "ip-10-0-102-200.us-west-1.compute.internal" not found
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266677       1 nodelink_controller.go:191] Reconciling Node /ip-10-0-108-54.us-west-1.compute.internal
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266757       1 nodelink_controller.go:413] Finding machine from node "ip-10-0-108-54.us-west-1.compute.internal"
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266762       1 nodelink_controller.go:430] Finding machine from node "ip-10-0-108-54.us-west-1.compute.internal" by ProviderID
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266838       1 nodelink_controller.go:453] Finding machine from node "ip-10-0-108-54.us-west-1.compute.internal" by IP
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266844       1 nodelink_controller.go:458] Found internal IP for node "ip-10-0-108-54.us-west-1.compute.internal": "10.0.108.54"
2026-01-28T09:32:49.268019104Z I0128 09:32:49.266980       1 nodelink_controller.go:482] Matching machine not found for node "ip-10-0-108-54.us-west-1.compute.internal" with internal IP "10.0.108.54"
2026-01-28T09:32:49.268019104Z W0128 09:32:49.266990       1 nodelink_controller.go:215] Machine for node "ip-10-0-108-54.us-west-1.compute.internal" not found
2026-01-28T09:32:49.386768305Z I0128 09:32:49.386732       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.386956279Z I0128 09:32:49.386936       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.387001960Z I0128 09:32:49.386991       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by providerID
2026-01-28T09:32:49.387027740Z W0128 09:32:49.387018       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" has no providerID
2026-01-28T09:32:49.387051010Z I0128 09:32:49.387041       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by IP
2026-01-28T09:32:49.387074631Z W0128 09:32:49.387065       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.387099321Z I0128 09:32:49.387090       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" not found
2026-01-28T09:32:49.387121442Z I0128 09:32:49.387112       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.387189853Z I0128 09:32:49.387178       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.387214763Z I0128 09:32:49.387205       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by providerID
2026-01-28T09:32:49.387238264Z W0128 09:32:49.387229       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" has no providerID
2026-01-28T09:32:49.387260504Z I0128 09:32:49.387251       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" by IP
2026-01-28T09:32:49.387283874Z W0128 09:32:49.387275       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8"
2026-01-28T09:32:49.387307165Z I0128 09:32:49.387298       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-mj4l8" not found
2026-01-28T09:32:49.510844217Z I0128 09:32:49.510804       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.511043420Z I0128 09:32:49.511017       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d"
2026-01-28T09:32:49.511085671Z I0128 09:32:49.511074       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" by providerID
2026-01-28T09:32:49.511119472Z W0128 09:32:49.511109       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" has no providerID
2026-01-28T09:32:49.511169573Z I0128 09:32:49.511158       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" by IP
2026-01-28T09:32:49.511195573Z W0128 09:32:49.511186       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d"
2026-01-28T09:32:49.511220373Z I0128 09:32:49.511211       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" not found
2026-01-28T09:32:49.511257314Z I0128 09:32:49.511248       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:49.511343745Z I0128 09:32:49.511332       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d"
2026-01-28T09:32:49.511372356Z I0128 09:32:49.511362       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" by providerID
2026-01-28T09:32:49.511404937Z W0128 09:32:49.511387       1 nodelink_controller.go:357] Machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" has no providerID
2026-01-28T09:32:49.511434677Z I0128 09:32:49.511425       1 nodelink_controller.go:379] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" by IP
2026-01-28T09:32:49.511458357Z W0128 09:32:49.511449       1 nodelink_controller.go:390] not found internal IP for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d"
2026-01-28T09:32:49.511482328Z I0128 09:32:49.511473       1 nodelink_controller.go:332] No-op: Node for machine "ci-ln-vjb5l1t-76ef8-snmcd-worker-us-west-1c-rgb9d" not found
2026-01-28T09:32:50.091030381Z I0128 09:32:50.090979       1 nodelink_controller.go:70] Adding providerID "aws:///us-west-1c/i-0ef0478c5528c9769" for machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" to indexer
2026-01-28T09:32:50.091113842Z I0128 09:32:50.091100       1 nodelink_controller.go:295] Watched machine event, finding node to reconcile.Request
2026-01-28T09:32:50.091280275Z I0128 09:32:50.091264       1 nodelink_controller.go:338] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0"
2026-01-28T09:32:50.091311835Z I0128 09:32:50.091301       1 nodelink_controller.go:355] Finding node from machine "ci-ln-vjb5l1t-76ef8-snmcd-master-0" by providerID
