2026-01-28T09:29:07.372174108Z I0128 09:29:07.372063       1 batcher.go:146] Batch processing duration: 100.277816ms
2026-01-28T09:29:07.372174108Z I0128 09:29:07.372160       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:07.372257942Z I0128 09:29:07.372181       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:29:07.538012395Z I0128 09:29:07.537920       1 batcher.go:146] Batch processing duration: 100.246746ms
2026-01-28T09:29:07.538012395Z I0128 09:29:07.537998       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:07.538087399Z I0128 09:29:07.538011       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-010583ba086028d2a] <nil> <nil> {}}
2026-01-28T09:29:07.697540978Z I0128 09:29:07.697430       1 batcher.go:146] Batch processing duration: 100.770322ms
2026-01-28T09:29:07.697540978Z I0128 09:29:07.697527       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:07.697593321Z I0128 09:29:07.697543       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:29:07.857876494Z I0128 09:29:07.857825       1 batcher.go:146] Batch processing duration: 100.245375ms
2026-01-28T09:29:07.857948598Z I0128 09:29:07.857872       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:07.857948598Z I0128 09:29:07.857883       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-0ef0478c5528c9769] <nil> <nil> {}}
2026-01-28T09:29:08.011825175Z I0128 09:29:08.011724       1 batcher.go:146] Batch processing duration: 100.232776ms
2026-01-28T09:29:08.011906099Z I0128 09:29:08.011845       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:08.011930710Z I0128 09:29:08.011866       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:29:08.172577082Z I0128 09:29:08.172500       1 batcher.go:146] Batch processing duration: 100.761942ms
2026-01-28T09:29:08.172611373Z I0128 09:29:08.172564       1 batcher.go:187] Batch size for label describe_instance is 1
2026-01-28T09:29:08.172611373Z I0128 09:29:08.172588       1 describe_instance_batch.go:85] Batched describe instances &{<nil> [] [i-056ab182efb057c55] <nil> <nil> {}}
2026-01-28T09:29:13.337133750Z I0128 09:29:13.337064       1 batcher.go:146] Batch processing duration: 100.212464ms
2026-01-28T09:29:13.337133750Z I0128 09:29:13.337121       1 batcher.go:187] Batch size for label describe_instance is 1
