2026-01-28T09:30:40.102773435Z I0128 09:30:40.102757       1 tlsconfig.go:181] "Loaded client CA" index=5 certName="client-ca::kube-system::extension-apiserver-authentication::client-ca-file,client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file" certDetail="\"aggregator-signer\" [] issuer=\"<self>\" (2026-01-28 09:13:04 +0000 UTC to 2026-01-29 09:13:04 +0000 UTC (now=2026-01-28 09:30:40.102745904 +0000 UTC))"
2026-01-28T09:30:40.102909538Z I0128 09:30:40.102887       1 tlsconfig.go:203] "Loaded serving cert" certName="serving-cert::/tmp/serving-cert-3221151693/tls.crt::/tmp/serving-cert-3221151693/tls.key" certDetail="\"localhost\" [serving] validServingFor=[localhost] issuer=\"service-ca-controller-signer@1769592639\" (2026-01-28 09:30:38 +0000 UTC to 2026-01-28 09:30:39 +0000 UTC (now=2026-01-28 09:30:40.102879457 +0000 UTC))"
2026-01-28T09:30:40.103042321Z I0128 09:30:40.103021       1 named_certificates.go:53] "Loaded SNI cert" index=0 certName="self-signed loopback" certDetail="\"apiserver-loopback-client@1769592639\" [serving] validServingFor=[apiserver-loopback-client] issuer=\"apiserver-loopback-client-ca@1769592639\" (2026-01-28 08:30:39 +0000 UTC to 2027-01-28 08:30:39 +0000 UTC (now=2026-01-28 09:30:40.10301239 +0000 UTC))"
2026-01-28T09:30:40.111046757Z I0128 09:30:40.111015       1 base_controller.go:82] Caches are synced for APIServiceCABundleInjector 
2026-01-28T09:30:40.111113949Z I0128 09:30:40.111084       1 base_controller.go:119] Starting #1 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111175960Z I0128 09:30:40.111141       1 base_controller.go:82] Caches are synced for ValidatingWebhookCABundleInjector 
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111139       1 base_controller.go:119] Starting #2 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111179       1 base_controller.go:119] Starting #1 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111181       1 base_controller.go:119] Starting #3 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111184       1 base_controller.go:119] Starting #2 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111189170Z I0128 09:30:40.111186       1 base_controller.go:119] Starting #4 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111190       1 base_controller.go:119] Starting #3 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111195       1 base_controller.go:119] Starting #4 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111202421Z I0128 09:30:40.111199       1 base_controller.go:119] Starting #5 worker of ValidatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.111213571Z I0128 09:30:40.111118       1 base_controller.go:82] Caches are synced for ServiceServingCertController 
2026-01-28T09:30:40.111213571Z I0128 09:30:40.111208       1 base_controller.go:119] Starting #1 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111223651Z I0128 09:30:40.111212       1 base_controller.go:119] Starting #2 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111223651Z I0128 09:30:40.111217       1 base_controller.go:119] Starting #3 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111223       1 admissionwebhook.go:116] updating validatingwebhookconfiguration multus.openshift.io with the service signing CA bundle
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111221       1 base_controller.go:119] Starting #4 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111242581Z I0128 09:30:40.111229       1 base_controller.go:119] Starting #5 worker of ServiceServingCertController controller ...
2026-01-28T09:30:40.111366714Z I0128 09:30:40.111123       1 base_controller.go:82] Caches are synced for LegacyVulnerableConfigMapCABundleInjector 
2026-01-28T09:30:40.111403855Z I0128 09:30:40.111392       1 base_controller.go:119] Starting #1 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111431986Z I0128 09:30:40.111421       1 base_controller.go:119] Starting #2 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111456726Z I0128 09:30:40.111447       1 base_controller.go:119] Starting #3 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111481457Z I0128 09:30:40.111472       1 base_controller.go:119] Starting #4 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111504527Z I0128 09:30:40.111495       1 base_controller.go:119] Starting #5 worker of LegacyVulnerableConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.111535798Z I0128 09:30:40.111128       1 base_controller.go:82] Caches are synced for ServiceServingCertUpdateController 
2026-01-28T09:30:40.111582269Z I0128 09:30:40.111553       1 base_controller.go:119] Starting #1 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111620810Z I0128 09:30:40.111609       1 base_controller.go:119] Starting #2 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111646050Z I0128 09:30:40.111636       1 base_controller.go:119] Starting #3 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111669291Z I0128 09:30:40.111660       1 base_controller.go:119] Starting #4 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.111692531Z I0128 09:30:40.111683       1 base_controller.go:119] Starting #5 worker of ServiceServingCertUpdateController controller ...
2026-01-28T09:30:40.114545344Z I0128 09:30:40.114524       1 reflector.go:376] Caches populated for *v1.CustomResourceDefinition from k8s.io/client-go@v0.32.2/tools/cache/reflector.go:251
2026-01-28T09:30:40.115150558Z I0128 09:30:40.111191       1 base_controller.go:119] Starting #5 worker of APIServiceCABundleInjector controller ...
2026-01-28T09:30:40.124029293Z I0128 09:30:40.111130       1 base_controller.go:82] Caches are synced for MutatingWebhookCABundleInjector 
2026-01-28T09:30:40.124068514Z I0128 09:30:40.124057       1 base_controller.go:119] Starting #1 worker of MutatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.124108435Z I0128 09:30:40.124084       1 base_controller.go:119] Starting #2 worker of MutatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.124136746Z I0128 09:30:40.124127       1 base_controller.go:119] Starting #3 worker of MutatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.124159666Z I0128 09:30:40.124150       1 base_controller.go:119] Starting #4 worker of MutatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.124182157Z I0128 09:30:40.124173       1 base_controller.go:119] Starting #5 worker of MutatingWebhookCABundleInjector controller ...
2026-01-28T09:30:40.124228548Z I0128 09:30:40.111376       1 base_controller.go:82] Caches are synced for ConfigMapCABundleInjector 
2026-01-28T09:30:40.124260019Z I0128 09:30:40.124250       1 base_controller.go:119] Starting #1 worker of ConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.124282749Z I0128 09:30:40.124274       1 base_controller.go:119] Starting #2 worker of ConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.124304860Z I0128 09:30:40.124296       1 base_controller.go:119] Starting #3 worker of ConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.124328350Z I0128 09:30:40.124319       1 base_controller.go:119] Starting #4 worker of ConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.124350421Z I0128 09:30:40.124341       1 base_controller.go:119] Starting #5 worker of ConfigMapCABundleInjector controller ...
2026-01-28T09:30:40.124388311Z I0128 09:30:40.124378       1 configmap.go:109] updating configmap default/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.124642687Z I0128 09:30:40.124626       1 configmap.go:109] updating configmap kube-node-lease/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.124821721Z I0128 09:30:40.124807       1 configmap.go:109] updating configmap kube-public/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.125004915Z I0128 09:30:40.124990       1 configmap.go:109] updating configmap kube-system/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.125190939Z I0128 09:30:40.125175       1 configmap.go:109] updating configmap openshift-apiserver-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.144466374Z I0128 09:30:40.144444       1 configmap.go:109] updating configmap openshift-apiserver/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.144693279Z I0128 09:30:40.144677       1 configmap.go:109] updating configmap openshift-authentication-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.144907694Z I0128 09:30:40.144891       1 configmap.go:109] updating configmap openshift-authentication-operator/service-ca-bundle with the service signing CA bundle
2026-01-28T09:30:40.145156489Z I0128 09:30:40.145139       1 configmap.go:109] updating configmap openshift-cloud-controller-manager-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.145331423Z I0128 09:30:40.145315       1 configmap.go:109] updating configmap openshift-cloud-controller-manager/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.154204219Z I0128 09:30:40.111354       1 admissionwebhook.go:116] updating validatingwebhookconfiguration performance-addon-operator with the service signing CA bundle
2026-01-28T09:30:40.184828854Z I0128 09:30:40.184809       1 configmap.go:109] updating configmap openshift-cloud-credential-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.184921196Z I0128 09:30:40.184907       1 configmap.go:109] updating configmap openshift-cloud-network-config-controller/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.195003818Z I0128 09:30:40.194979       1 configmap.go:109] updating configmap openshift-cloud-platform-infra/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.195060489Z I0128 09:30:40.195044       1 configmap.go:109] updating configmap openshift-cluster-csi-drivers/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.224892027Z I0128 09:30:40.224857       1 base_controller.go:82] Caches are synced for CRDCABundleInjector 
2026-01-28T09:30:40.224956488Z I0128 09:30:40.224945       1 base_controller.go:119] Starting #1 worker of CRDCABundleInjector controller ...
2026-01-28T09:30:40.225004419Z I0128 09:30:40.224994       1 base_controller.go:119] Starting #2 worker of CRDCABundleInjector controller ...
2026-01-28T09:30:40.225027580Z I0128 09:30:40.225018       1 base_controller.go:119] Starting #3 worker of CRDCABundleInjector controller ...
2026-01-28T09:30:40.225049070Z I0128 09:30:40.225040       1 base_controller.go:119] Starting #4 worker of CRDCABundleInjector controller ...
2026-01-28T09:30:40.225072171Z I0128 09:30:40.225063       1 base_controller.go:119] Starting #5 worker of CRDCABundleInjector controller ...
2026-01-28T09:30:40.225151553Z I0128 09:30:40.225138       1 crd.go:69] updating customresourcedefinition alertmanagerconfigs.monitoring.coreos.com conversion webhook config with the service signing CA bundle
2026-01-28T09:30:40.232458214Z W0128 09:30:40.232413       1 crd.go:61] customresourcedefinition consoleplugins.console.openshift.io is annotated for ca bundle injection but does not use strategy "Webhook"
2026-01-28T09:30:40.232530025Z I0128 09:30:40.232503       1 crd.go:69] updating customresourcedefinition performanceprofiles.performance.openshift.io conversion webhook config with the service signing CA bundle
2026-01-28T09:30:40.247236470Z I0128 09:30:40.247204       1 configmap.go:109] updating configmap openshift-cluster-machine-approver/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.440675394Z I0128 09:30:40.440643       1 configmap.go:109] updating configmap openshift-cluster-node-tuning-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.637642006Z I0128 09:30:40.637603       1 configmap.go:109] updating configmap openshift-cluster-olm-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:40.841599373Z I0128 09:30:40.841551       1 configmap.go:109] updating configmap openshift-cluster-samples-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:41.013735188Z I0128 09:30:41.013693       1 configmap.go:109] updating configmap openshift-cluster-storage-operator/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:41.214718298Z I0128 09:30:41.214668       1 configmap.go:109] updating configmap openshift-cluster-version/openshift-service-ca.crt with the service signing CA bundle
2026-01-28T09:30:41.413810937Z I0128 09:30:41.413759       1 configmap.go:109] updating configmap openshift-config-managed/openshift-service-ca.crt with the service signing CA bundle
