2026-01-28T09:31:41.496412516Z I0128 09:31:41.496395       1 controller.go:246] "Starting EventSource" controller="ingress-config-controller" source="kind source: *v1.IngressController"
2026-01-28T09:31:41.496469217Z I0128 09:31:41.496450       1 controller.go:246] "Starting EventSource" controller="dashboard-controller" source="informer source: 0xc000e0eb00"
2026-01-28T09:31:41.496555539Z I0128 09:31:41.496529       1 controller.go:186] "Starting Controller" controller="dashboard-controller"
2026-01-28T09:31:41.496595670Z I0128 09:31:41.496584       1 controller.go:195] "Starting workers" controller="dashboard-controller" worker count=1
2026-01-28T09:31:41.496648781Z I0128 09:31:41.496223       1 controller.go:246] "Starting EventSource" controller="configmap-trust-bundle-injector-controller" source="informer source: 0xc000e0e4d0"
2026-01-28T09:31:41.496714313Z I0128 09:31:41.496699       1 controller.go:186] "Starting Controller" controller="configmap-trust-bundle-injector-controller"
2026-01-28T09:31:41.496751933Z I0128 09:31:41.496740       1 controller.go:195] "Starting workers" controller="configmap-trust-bundle-injector-controller" worker count=1
2026-01-28T09:31:41.496789214Z I0128 09:31:41.496147       1 log.go:245]  openshift-network-operator/iptables-alerter-script changed, triggering operconf reconciliation
2026-01-28T09:31:41.496844506Z I0128 09:31:41.496829       1 controller.go:246] "Starting EventSource" controller="machineconfigpool-watcher" source="kind source: *v1.MachineConfigPool"
2026-01-28T09:31:41.496896427Z I0128 09:31:41.496711       1 controller.go:246] "Starting EventSource" controller="machineconfig-watcher" source="kind source: *v1.MachineConfig"
2026-01-28T09:31:41.496937378Z I0128 09:31:41.496748       1 dashboard_controller.go:117] Reconcile dashboards
2026-01-28T09:31:41.496971128Z I0128 09:31:41.496830       1 log.go:245] Reconciling configmap from  openshift-config-managed/trusted-ca-bundle
2026-01-28T09:31:41.497145602Z I0128 09:31:41.496757       1 controller.go:246] "Starting EventSource" controller="pod-watcher" source="informer source: 0xc000e0ed10"
2026-01-28T09:31:41.497196643Z I0128 09:31:41.496782       1 controller.go:246] "Starting EventSource" controller="pod-watcher" source="informer source: 0xc000e0ebb0"
2026-01-28T09:31:41.497240764Z I0128 09:31:41.496668       1 controller.go:246] "Starting EventSource" controller="allowlist-controller" source="informer source: 0xc000e0e9a0"
2026-01-28T09:31:41.497293325Z I0128 09:31:41.497279       1 controller.go:186] "Starting Controller" controller="allowlist-controller"
2026-01-28T09:31:41.497328296Z E0128 09:31:41.497311       1 reflector.go:200] "Failed to watch" err="failed to list *v1alpha1.PodNetworkConnectivityCheck: the server could not find the requested resource (get podnetworkconnectivitychecks.controlplane.operator.openshift.io)" reflector="k8s.io/client-go@v0.33.3/tools/cache/reflector.go:285" type="*v1alpha1.PodNetworkConnectivityCheck"
2026-01-28T09:31:41.497360247Z I0128 09:31:41.497316       1 controller.go:195] "Starting workers" controller="allowlist-controller" worker count=1
2026-01-28T09:31:41.497495830Z I0128 09:31:41.497332       1 pod_watcher.go:132] Operand /, Kind= openshift-multus/multus updated, re-generating status
2026-01-28T09:31:41.497540161Z I0128 09:31:41.497527       1 pod_watcher.go:132] Operand /, Kind= openshift-multus/multus-additional-cni-plugins updated, re-generating status
2026-01-28T09:31:41.497656544Z I0128 09:31:41.496789       1 controller.go:246] "Starting EventSource" controller="pod-watcher" source="informer source: 0xc000e0ec60"
2026-01-28T09:31:41.497674074Z I0128 09:31:41.497662       1 controller.go:186] "Starting Controller" controller="pod-watcher"
2026-01-28T09:31:41.497685824Z I0128 09:31:41.497674       1 controller.go:195] "Starting workers" controller="pod-watcher" worker count=1
2026-01-28T09:31:41.497824197Z I0128 09:31:41.497807       1 log.go:245]  openshift-network-operator/kube-root-ca.crt changed, triggering operconf reconciliation
2026-01-28T09:31:41.497887699Z I0128 09:31:41.497871       1 pod_watcher.go:132] Operand /, Kind= openshift-cloud-network-config-controller/cloud-network-config-controller updated, re-generating status
2026-01-28T09:31:41.497926240Z I0128 09:31:41.497913       1 pod_watcher.go:132] Operand /, Kind= openshift-multus/multus-admission-controller updated, re-generating status
2026-01-28T09:31:41.497957880Z I0128 09:31:41.497909       1 log.go:245]  openshift-network-operator/mtu changed, triggering operconf reconciliation
2026-01-28T09:31:41.497998432Z I0128 09:31:41.497985       1 log.go:245]  openshift-network-operator/openshift-service-ca.crt changed, triggering operconf reconciliation
2026-01-28T09:31:41.498035792Z I0128 09:31:41.498023       1 pod_watcher.go:132] Operand /, Kind= openshift-network-console/networking-console-plugin updated, re-generating status
2026-01-28T09:31:41.498069353Z I0128 09:31:41.498057       1 pod_watcher.go:132] Operand /, Kind= openshift-ovn-kubernetes/ovnkube-control-plane updated, re-generating status
2026-01-28T09:31:41.498135744Z I0128 09:31:41.497864       1 pod_watcher.go:132] Operand /, Kind= openshift-multus/network-metrics-daemon updated, re-generating status
