2026-01-28T09:32:04.461531464Z I0128 09:32:04.461468       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::requestheader-client-ca-file"
2026-01-28T09:32:04.461587376Z I0128 09:32:04.461484       1 shared_informer.go:357] "Caches are synced" controller="RequestHeaderAuthRequestController"
2026-01-28T09:32:04.462287291Z I0128 09:32:04.461494       1 shared_informer.go:357] "Caches are synced" controller="client-ca::kube-system::extension-apiserver-authentication::client-ca-file"
2026-01-28T09:32:04.463291201Z E0128 09:32:04.463271       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:04.464561383Z E0128 09:32:04.464540       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:04.465975444Z E0128 09:32:04.465956       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:04.469076857Z E0128 09:32:04.469057       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:04.513655183Z E0128 09:32:04.513615       1 static_resource_controller.go:221] "Unhandled Error" err="missing informer for namespace \"\"; no dynamic wiring added, time-based only."
2026-01-28T09:32:04.515274453Z I0128 09:32:04.515252       1 certrotationcontroller.go:148] Setting monthPeriod to 720h0m0s, yearPeriod to 8760h0m0s, tenMonthPeriod to 7008h0m0s
2026-01-28T09:32:04.560304251Z I0128 09:32:04.560265       1 base_controller.go:76] Waiting for caches to sync for SCCReconcileController
2026-01-28T09:32:04.568149789Z I0128 09:32:04.568098       1 base_controller.go:76] Waiting for caches to sync for NodeKubeconfigController
2026-01-28T09:32:04.579092171Z I0128 09:32:04.576799       1 base_controller.go:76] Waiting for caches to sync for KubeAPIServerStaticResources-StaticResources
2026-01-28T09:32:04.579932632Z I0128 09:32:04.579915       1 base_controller.go:76] Waiting for caches to sync for MissingStaticPodController
2026-01-28T09:32:04.581603595Z I0128 09:32:04.580257       1 base_controller.go:76] Waiting for caches to sync for Installer
2026-01-28T09:32:04.581659377Z I0128 09:32:04.580327       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver
2026-01-28T09:32:04.581690899Z I0128 09:32:04.580343       1 base_controller.go:76] Waiting for caches to sync for BoundSATokenSignerController
2026-01-28T09:32:04.581719431Z I0128 09:32:04.580350       1 base_controller.go:76] Waiting for caches to sync for TargetConfigController
2026-01-28T09:32:04.581745922Z I0128 09:32:04.580566       1 base_controller.go:76] Waiting for caches to sync for RevisionController
2026-01-28T09:32:04.581769403Z I0128 09:32:04.580808       1 base_controller.go:76] Waiting for caches to sync for auditPolicyController
2026-01-28T09:32:04.581803395Z I0128 09:32:04.580815       1 base_controller.go:76] Waiting for caches to sync for ConfigObserver
2026-01-28T09:32:04.582564892Z I0128 09:32:04.581010       1 certrotationcontroller.go:919] Starting CertRotation
2026-01-28T09:32:04.582603414Z I0128 09:32:04.582593       1 certrotationcontroller.go:884] Waiting for CertRotation
2026-01-28T09:32:04.582628656Z I0128 09:32:04.581825       1 base_controller.go:76] Waiting for caches to sync for openshift-kube-apiserver-EncryptionCondition
2026-01-28T09:32:04.582652237Z I0128 09:32:04.581832       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-InstallerState
2026-01-28T09:32:04.582676178Z I0128 09:32:04.581837       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-StaticPodState
2026-01-28T09:32:04.582699269Z I0128 09:32:04.581841       1 base_controller.go:76] Waiting for caches to sync for PruneController
2026-01-28T09:32:04.582722150Z I0128 09:32:04.581844       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-StartupMonitorPodCondition
2026-01-28T09:32:04.582753012Z I0128 09:32:04.581847       1 base_controller.go:76] Waiting for caches to sync for kube-apiserver-StaticPodStateFallback
